id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng
9048722169,Cooldown,2023-05-10T18:26:01Z,Run,1904.4,545,646,2.0,"[42.36637517809868, -71.10816054046154]"
9048634566,Erg: 2x5k,2023-05-10T17:30:44Z,Rowing,0.0,2580,2580,0,[]
9048444287,Warmup,2023-05-10T17:03:48Z,Run,3655.8,1008,1192,14.0,"[42.376918103545904, -71.11930847167969]"
9042413109,Hemenweights,2023-05-09T17:58:20Z,WeightTraining,0.0,438,438,0,[]
9042381298,Erg: Progressive 5k,2023-05-09T17:38:01Z,Rowing,0.0,1199,1199,0,[]
9040584541,Lunch Run,2023-05-09T11:50:27Z,Run,11876.2,3184,3374,41.0,"[42.36574251204729, -71.10730659216642]"
9036461092,Hemenweights,2023-05-08T18:45:34Z,WeightTraining,0.0,876,876,0,[]
9036392636,Post Run Row,2023-05-08T18:12:09Z,Rowing,0.0,1946,1946,0,[]
9036249354,Pre Row Run,2023-05-08T17:27:15Z,Run,8063.3,2017,2399,23.0,"[42.37725958228111, -71.11930972896516]"
9030232523,Easy w/ Bettina,2023-05-07T15:27:48Z,Run,5096.2,1646,2554,11.0,"[42.366068148985505, -71.10785560682416]"
9023985527,Bluebike to Dinner,2023-05-06T18:44:17Z,Ride,1489.5,334,411,4.0,"[42.37284776754677, -71.09440550208092]"
9023884169,Cooldown,2023-05-06T18:04:39Z,Run,1795.9,463,561,1.0,"[42.36638993024826, -71.10837997868657]"
9023848387,Hemenweights,2023-05-06T17:51:41Z,WeightTraining,0.0,570,570,0,[]
9023812506,2x5k @easyish,2023-05-06T17:06:21Z,Rowing,0.0,2686,2686,0,[]
9023656889,Warmup,2023-05-06T16:52:23Z,Run,1796.8,492,541,10.0,"[42.37672548741102, -71.11913630738854]"
9022642267,Mt Auburn + Formaggio BBQ,2023-05-06T10:18:41Z,Ride,11080.4,2576,10069,66.0,"[42.36640795134008, -71.10565125010908]"
9017363051,Successful Run!,2023-05-05T17:07:12Z,Run,1611.7,381,381,0,[]
9017331397,Erg: 4x500,2023-05-05T16:26:43Z,Rowing,0.0,2247,2247,0,[]
9011754851,Hemenweights,2023-05-04T16:50:26Z,WeightTraining,0.0,605,605,0,[]
9011711819,Erg: 15k Continuous,2023-05-04T15:48:17Z,Rowing,0.0,3661,3661,0,[]
8998196103,Hemenweights,2023-05-02T13:58:36Z,WeightTraining,0.0,1579,1579,0,[]
8997981281,20k Erg: Intervals + Endurance,2023-05-02T12:20:56Z,Rowing,0.0,5833,5833,0,[]
8993195046,Hemenweights,2023-05-01T17:35:34Z,WeightTraining,0.0,499,499,0,[]
8993156813,90min Elliptical,2023-05-01T16:01:16Z,Elliptical,0.0,5500,5500,0,[]
8992805401,Little Row,2023-05-01T15:48:10Z,Rowing,0.0,629,629,0,[]
8986140085,Hemenweights,2023-04-30T14:14:40Z,WeightTraining,0.0,1013,1013,0,[]
8986044392,Erg: 3x20min,2023-04-30T13:01:54Z,Rowing,0.0,4177,4177,0,[]
8980321267,Hemenweights,2023-04-29T17:12:55Z,WeightTraining,0.0,1159,1159,0,[]
8980248195,Erg: 4x2500m,2023-04-29T16:15:03Z,Rowing,0.0,3235,3235,0,[]
